"","UID","Taxon","Abundance","taxon_lumped","taxon_lumped2","non.alga.flag","motile_sessile","Notes"
"210","Fifth Beach HIGH 2012 3","Hildenbrandia occidentalis",30,"Hildenbrandia","Hildenbrandia","Algae","sessile",""
"211","Fifth Beach HIGH 2012 3","Lottia sp.",15,"Lottia sp.","Lottia sp.","Animal","motile",""
"212","Fifth Beach HIGH 2012 3","Mastocarpus agardhii",2,"Mastocarpus agardhii","Mastocarpus","Algae","sessile","M. agardhii is distinct from others, but we will have to do something with these!!"
"213","Fifth Beach HIGH 2012 3","Mastocarpus alaskensis",6,"Mastocarpus alaskensis","Mastocarpus","Algae","sessile","REVISIT"
"214","Fifth Beach HIGH 2012 3","Mazzaella oregona",8,"Mazzaella oregona","Mazzaella oregona","Algae","sessile",""
"215","Fifth Beach HIGH 2012 3","Mytilus sp.",1,"Mytilus sp.","Mytilus sp.","Animal","sessile",""
"216","Fifth Beach HIGH 2012 3","Pagarus sp.",1,"Pagarus sp.","Pagarus sp.","Animal","motile",""
"217","Fifth Beach HIGH 2012 3","Pentidotea sp.",1,"Pentidotea sp.","Pentidotea sp.","Animal","motile",""
"218","Fifth Beach HIGH 2012 3","Pyropia perforata",3,"Pyropia perforata","Pyropia","Algae","sessile",""
"219","Fifth Beach HIGH 2012 3","Spongites tumidum",1,"Spongites tumidum","Spongites tumidum","Algae","sessile",""
"220","Fifth Beach HIGH 2012 3","Ulva lactuca",4,"Ulva lactuca","Ulva","Algae","sessile",""
"221","Fifth Beach HIGH 2012 3","Ulva linza",1,"Ulva linza","Ulva","Algae","sessile",""
"222","Fifth Beach HIGH 2012 4","Acrosiphonia sp.",1,"Acrosiphonia","Acrosiphonia","Algae","sessile",""
