taxon,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,flag
Punctaria sp.,blade,thick leathery,brown blade,blade,brown blade,blade,blade,
Pylaiella littoralis,filament,filament,filament,filament,filament,filament,thin_turf,
Pyropia,blade,sheet,red blade,blade,red blade,blade,blade,
Pyropia abbottiae,blade,sheet,red blade,blade,red blade,blade,blade,
Pyropia fallax,blade,sheet,red blade,blade,red blade,blade,blade,
Pyropia fucicola,blade,sheet,red blade,blade,red blade,blade,blade,
Pyropia gardneri,blade,sheet,red blade,blade,red blade,blade,blade,
Pyropia perforata,blade,sheet,red blade,blade,red blade,blade,blade,
Pyropia schizophylla,blade,sheet,red blade,blade,red blade,blade,blade,
Pyropia smithii,blade,sheet,red blade,blade,red blade,blade,blade,
Pyropia sp.,blade,sheet,red blade,blade,red blade,blade,blade,
Ralfisa,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Ralfsia,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Ralfsia fungiformis,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Ralfsia pacifica,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Ralfsia sp,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Ralfsia sp [brown crust],crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Ralfsia sp.,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Ralfsioid,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Red Crust,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Rhizoclonium tortuosum,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,
Rhodochorton purpureum,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Rhodocorton purpureum,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Rhodymenia sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,
Saccharina groenlandica,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Saccharina latissima,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Saccharina latissimus,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Saccharina sessile,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Saccharina sessilis,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Saccharina nigripes,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Salishia firma,blade,thick leathery,red blade,blade,red blade,blade,blade,
Sargassum muticum,Fucoid,thick leathery,Sargassum,Sargassum,Sargassum,Sargassum,large_brown,Not sure what to call this but only found at Meay so doesn't matter right now
Scagelia occidentale,filament,filament,filament,filament,filament,filament,thin_turf,
Schizymenia pacifica,blade,thick leathery,red blade,blade,red blade,blade,blade,
Scytosiphon dotyi,brown turf,sheet,brown turf,brown turf,turf,turf,turf,
